Text,,Price,Mileage,Certified?,Year,Package
"Certified 2015 Toyota Prius PERSONA     Save    $23,995   13,181 mi",Certified 2015 Toyota Prius PERSONA,23995,"13,181",1,2015,PERSONA
"Used 2012 Toyota Prius Three     Save    $15,995   13,188 mi",Used 2012 Toyota Prius Three,15995,"13,188",0,2012,Three
"Used 2011 Toyota Prius I     Save    $13,998   13,236 mi",Used 2011 Toyota Prius I,13998,"13,236",0,2011,I
"Certified 2015 Toyota Prius Persona Series Special Edition     Save    $21,980   13,320 mi",Certified 2015 Toyota Prius Persona Series Special Edition,21980,"13,320",1,2015,Persona
"Used 2015 Toyota Prius Three     Save    $19,573   13,330 mi",Used 2015 Toyota Prius Three,19573,"13,330",0,2015,Three
"Used 2013 Toyota Prius      Save    $20,000   13,403 mi",Used 2013 Toyota Prius,20000,"13,403",0,2013,
"Used 2013 Toyota Prius One     Save    $17,999   13,405 mi",Used 2013 Toyota Prius One,17999,"13,405",0,2013,One
"Used 2013 Toyota Prius      Save    $16,988   13,443 mi",Used 2013 Toyota Prius,16988,"13,443",0,2013,
"Used 2013 Toyota Prius PERSONA SERIES SE     Save    $17,215   13,456 mi",Used 2013 Toyota Prius PERSONA SERIES SE,17215,"13,456",0,2013,PERSONA
"Certified 2014 Toyota Prius Two     Save    $17,585   13,475 mi",Certified 2014 Toyota Prius Two,17585,"13,475",1,2014,Two
"Used 2015 Toyota Prius TWO-HYBRID BACKUP CAMERA LOW MILES     Save    $18,794   13,488 mi",Used 2015 Toyota Prius TWO-HYBRID BACKUP CAMERA LOW MILES,18794,"13,488",0,2015,TWO-HYBRID
"Used 2013 Toyota Prius Two     Save    $16,569   13,507 mi",Used 2013 Toyota Prius Two,16569,"13,507",0,2013,Two
"Used 2013 Toyota Prius Three     Save    $18,495   13,530 mi",Used 2013 Toyota Prius Three,18495,"13,530",0,2013,Three
"Used 2013 Toyota Prius Three     Save    $18,991   13,531 mi",Used 2013 Toyota Prius Three,18991,"13,531",0,2013,Three
"Used 2015 Toyota Prius Three     Save    $19,000   13,542 mi",Used 2015 Toyota Prius Three,19000,"13,542",0,2015,Three
"Used 2013 Toyota Prius Three     Save    $18,490   13,615 mi",Used 2013 Toyota Prius Three,18490,"13,615",0,2013,Three
"Certified 2015 Toyota Prius Two Model     Save    $19,988   13,639 mi",Certified 2015 Toyota Prius Two Model,19988,"13,639",1,2015,Two
"Used 2015 Toyota Prius Persona Series Special Edition     Save    $22,888   13,710 mi",Used 2015 Toyota Prius Persona Series Special Edition,22888,"13,710",0,2015,Persona
"Used 2014 Toyota Prius Four     Save    $19,998   13,720 mi",Used 2014 Toyota Prius Four,19998,"13,720",0,2014,Four
"Certified 2014 Toyota Prius Four     Save    $18,787   13,741 mi",Certified 2014 Toyota Prius Four,18787,"13,741",1,2014,Four
"Used 2014 Toyota Prius Three     Save    $18,500   13,746 mi",Used 2014 Toyota Prius Three,18500,"13,746",0,2014,Three
"Certified 2014 Toyota Prius Three Model     Save    $18,500   13,746 mi",Certified 2014 Toyota Prius Three Model,18500,"13,746",1,2014,Three
"Certified 2015 Toyota Prius Three Model     Save    $28,995   13,749 mi",Certified 2015 Toyota Prius Three Model,28995,"13,749",1,2015,Three
"Used 2013 Toyota Prius Four     Save    $18,888   13,769 mi",Used 2013 Toyota Prius Four,18888,"13,769",0,2013,Four
"Used 2013 Toyota Prius Two     Save    $18,995   13,774 mi",Used 2013 Toyota Prius Two,18995,"13,774",0,2013,Two
"Certified 2013 Toyota Prius Two Model     Save    $17,987   13,796 mi",Certified 2013 Toyota Prius Two Model,17987,"13,796",1,2013,Two
"Used 2014 Toyota Prius      Save    $20,999   13,798 mi",Used 2014 Toyota Prius,20999,"13,798",0,2014,
"Certified 2013 Toyota Prius Three     Save    $18,888   13,829 mi",Certified 2013 Toyota Prius Three,18888,"13,829",1,2013,Three
"Certified 2015 Toyota Prius Two Model     Save    $22,588   13,843 mi",Certified 2015 Toyota Prius Two Model,22588,"13,843",1,2015,Two
"Certified 2013 Toyota Prius Two     Save    $17,891   13,844 mi",Certified 2013 Toyota Prius Two,17891,"13,844",1,2013,Two
"Used 2014 Toyota Prius Two     Save    $20,054   13,881 mi",Used 2014 Toyota Prius Two,20054,"13,881",0,2014,Two
"Used 2014 Toyota Prius Three     Save    $18,800   13,881 mi",Used 2014 Toyota Prius Three,18800,"13,881",0,2014,Three
"Certified 2012 Toyota Prius Two     Save    $16,695   13,890 mi",Certified 2012 Toyota Prius Two,16695,"13,890",1,2012,Two
"Used 2013 Toyota Prius Four     Save    $19,926   13,930 mi",Used 2013 Toyota Prius Four,19926,"13,930",0,2013,Four
"Used 2015 Toyota Prius One     Save    $18,987   13,935 mi",Used 2015 Toyota Prius One,18987,"13,935",0,2015,One
"Used 2014 Toyota Prius Four     Save    $21,376   13,937 mi",Used 2014 Toyota Prius Four,21376,"13,937",0,2014,Four
"Certified 2014 Toyota Prius Three     Save    $19,981   13,991 mi",Certified 2014 Toyota Prius Three,19981,"13,991",1,2014,Three
"Certified 2013 Toyota Prius Four     Save    $22,000   13,994 mi",Certified 2013 Toyota Prius Four,22000,"13,994",1,2013,Four
"Certified 2013 Toyota Prius Four     Save    $18,977   14,045 mi",Certified 2013 Toyota Prius Four,18977,"14,045",1,2013,Four
"Used 2015 Toyota Prius Three     Save    $18,999   14,120 mi",Used 2015 Toyota Prius Three,18999,"14,120",0,2015,Three
"Certified 2013 Toyota Prius Three Model     Save    $18,995   14,122 mi",Certified 2013 Toyota Prius Three Model,18995,"14,122",1,2013,Three
"Certified 2015 Toyota Prius II     Save    $21,980   14,133 mi",Certified 2015 Toyota Prius II,21980,"14,133",1,2015,II
"Certified 2012 Toyota Prius Four Model     Save    $18,888   14,217 mi",Certified 2012 Toyota Prius Four Model,18888,"14,217",1,2012,Four
"Used 2015 Toyota Prius One     Save    $19,191   14,221 mi",Used 2015 Toyota Prius One,19191,"14,221",0,2015,One
"Used 2013 Toyota Prius PERSONA     Save    $18,988   14,265 mi",Used 2013 Toyota Prius PERSONA,18988,"14,265",0,2013,PERSONA
"Used 2013 Toyota Prius PERSONA NATL     Save    $19,995   14,274 mi",Used 2013 Toyota Prius PERSONA NATL,19995,"14,274",0,2013,PERSONA
"Certified 2014 Toyota Prius Three     Save    $20,236   14,291 mi",Certified 2014 Toyota Prius Three,20236,"14,291",1,2014,Three
"Certified 2013 Toyota Prius Three     Save    $19,586   14,342 mi",Certified 2013 Toyota Prius Three,19586,"14,342",1,2013,Three
"Certified 2015 Toyota Prius Persona Series Special Edition     Save    $21,961   14,345 mi",Certified 2015 Toyota Prius Persona Series Special Edition,21961,"14,345",1,2015,Persona
"Used 2015 Toyota Prius      Save    $19,988   14,365 mi",Used 2015 Toyota Prius,19988,"14,365",0,2015,
"Certified 2014 Toyota Prius      Save    $18,999   14,432 mi",Certified 2014 Toyota Prius,18999,"14,432",1,2014,
"Used 2014 Toyota Prius Three     Save    $20,999   14,440 mi",Used 2014 Toyota Prius Three,20999,"14,440",0,2014,Three
"Used 2013 Toyota Prius Four     Save    $21,990   14,452 mi",Used 2013 Toyota Prius Four,21990,"14,452",0,2013,Four
"Used 2013 Toyota Prius 2     Save    $15,992   14,500 mi",Used 2013 Toyota Prius 2,15992,"14,500",0,2013,2
"Used 2013 Toyota Prius PACKAGE 2     Save    $17,555   14,505 mi",Used 2013 Toyota Prius PACKAGE 2,17555,"14,505",0,2013,PACKAGE
"Certified 2015 Toyota Prius Three     Save    $23,991   14,512 mi",Certified 2015 Toyota Prius Three,23991,"14,512",1,2015,Three
"Certified 2014 Toyota Prius Four     Save    $20,999   14,528 mi",Certified 2014 Toyota Prius Four,20999,"14,528",1,2014,Four
"Used 2015 Toyota Prius Four     Save    $18,990   14,529 mi",Used 2015 Toyota Prius Four,18990,"14,529",0,2015,Four
"Used 2014 Toyota Prius Three     Save    $17,500   14,541 mi",Used 2014 Toyota Prius Three,17500,"14,541",0,2014,Three
"Used 2014 Toyota Prius BACKUP BLUETOOTH LOADED     Save    $19,990   14,596 mi",Used 2014 Toyota Prius BACKUP BLUETOOTH LOADED,19990,"14,596",0,2014,BACKUP
"Used 2015 Toyota Prius Three     Save    $20,405   14,671 mi",Used 2015 Toyota Prius Three,20405,"14,671",0,2015,Three
"Used 2015 Toyota Prius Three     Save    $19,555   14,707 mi",Used 2015 Toyota Prius Three,19555,"14,707",0,2015,Three
"Used 2012 Toyota Prius Two     Save    $16,988   14,793 mi",Used 2012 Toyota Prius Two,16988,"14,793",0,2012,Two
"Certified 2014 Toyota Prius Three     Save    $18,459   14,816 mi",Certified 2014 Toyota Prius Three,18459,"14,816",1,2014,Three
"Used 2013 Toyota Prius One     Save    $16,499   14,824 mi",Used 2013 Toyota Prius One,16499,"14,824",0,2013,One
"Used 2015 Toyota Prius      Save    $18,997   14,900 mi",Used 2015 Toyota Prius,18997,"14,900",0,2015,
"Certified 2014 Toyota Prius Two Model     Save    $20,988   14,908 mi",Certified 2014 Toyota Prius Two Model,20988,"14,908",1,2014,Two
"Used 2015 Toyota Prius Two     Save    $17,688   14,909 mi",Used 2015 Toyota Prius Two,17688,"14,909",0,2015,Two
"Certified 2013 Toyota Prius Two Model     Save    $20,000   14,913 mi",Certified 2013 Toyota Prius Two Model,20000,"14,913",1,2013,Two
"Used 2015 Toyota Prius Persona Series Special Edition     Save    $21,604   14,956 mi",Used 2015 Toyota Prius Persona Series Special Edition,21604,"14,956",0,2015,Persona
"Certified 2013 Toyota Prius Four     Save    $20,888   14,970 mi",Certified 2013 Toyota Prius Four,20888,"14,970",1,2013,Four
"Used 2015 Toyota Prius Five     Save    $21,990   14,980 mi",Used 2015 Toyota Prius Five,21990,"14,980",0,2015,Five
"Used 2015 Toyota Prius Two     Save    $16,997   15 mi",Used 2015 Toyota Prius Two,16997,15,0,2015,Two
"Used 2015 Toyota Prius Two     Save    $19,995   15,000 mi",Used 2015 Toyota Prius Two,19995,"15,000",0,2015,Two
"Certified 2015 Toyota Prius Two     Save    $18,275   15,021 mi",Certified 2015 Toyota Prius Two,18275,"15,021",1,2015,Two
"Used 2015 Toyota Prius      Save    $20,996   15,067 mi",Used 2015 Toyota Prius,20996,"15,067",0,2015,
"Certified 2015 Toyota Prius Two     Save    $20,988   15,100 mi",Certified 2015 Toyota Prius Two,20988,"15,100",1,2015,Two
"Used 2013 Toyota Prius Two     Save    $18,900   15,125 mi",Used 2013 Toyota Prius Two,18900,"15,125",0,2013,Two
